locationid,zone,aisle,bay
360675,31AM,0,1
255187,AM,10,1
255188,AM,11,1
255189,AM,12,1
255190,AM,13,1
255180,AM,3,1
255181,AM,4,1
255182,AM,5,1
255183,AM,6,1
255184,AM,7,1
255185,AM,8,1
255186,AM,9,1
286293,AP,4,1
286302,AP,4,10
286303,AP,4,11
286304,AP,4,12
286305,AP,4,13
286306,AP,4,14
286307,AP,4,15
286308,AP,4,16
286309,AP,4,17
286310,AP,4,18
286311,AP,4,19
286294,AP,4,2
286312,AP,4,20
286313,AP,4,21
286314,AP,4,22
286315,AP,4,23
286316,AP,4,24
286317,AP,4,25
286318,AP,4,26
286319,AP,4,27
286320,AP,4,28
286321,AP,4,29
286295,AP,4,3
286322,AP,4,30
286323,AP,4,31
286324,AP,4,32
286325,AP,4,33
286326,AP,4,34
286327,AP,4,35
286328,AP,4,36
286329,AP,4,37
286330,AP,4,38
286331,AP,4,39
286296,AP,4,4
286332,AP,4,40
286333,AP,4,41
286334,AP,4,42
286335,AP,4,43
286336,AP,4,44
286337,AP,4,45
286338,AP,4,46
286339,AP,4,47
286340,AP,4,48
286341,AP,4,49
286297,AP,4,5
286342,AP,4,50
286343,AP,4,51
286344,AP,4,52
286298,AP,4,6
286299,AP,4,7
286300,AP,4,8
286301,AP,4,9
286269,AP,5,29
286270,AP,5,30
286271,AP,5,31
286272,AP,5,32
286273,AP,5,33
286274,AP,5,34
286275,AP,5,35
286276,AP,5,36
286277,AP,5,37
286278,AP,5,38
286279,AP,5,39
286280,AP,5,40
286281,AP,5,41
286282,AP,5,42
286283,AP,5,43
286284,AP,5,44
286285,AP,5,45
286286,AP,5,46
286287,AP,5,47
286288,AP,5,48
286289,AP,5,49
286290,AP,5,50
286291,AP,5,51
286292,AP,5,52
286245,AP,6,29
286246,AP,6,30
286247,AP,6,31
286248,AP,6,32
286249,AP,6,33
286250,AP,6,34
286251,AP,6,35
286252,AP,6,36
286253,AP,6,37
286254,AP,6,38
286255,AP,6,39
286256,AP,6,40
286257,AP,6,41
286258,AP,6,42
286259,AP,6,43
286260,AP,6,44
286261,AP,6,45
286262,AP,6,46
286263,AP,6,47
286264,AP,6,48
286265,AP,6,49
286266,AP,6,50
286267,AP,6,51
286268,AP,6,52
244372,BP,0,1
244373,BP,0,2
243926,BP,0,3
285283,BP,8,1
285292,BP,8,10
285293,BP,8,11
285294,BP,8,12
285295,BP,8,13
285296,BP,8,14
285297,BP,8,15
285298,BP,8,16
285299,BP,8,17
285300,BP,8,18
285301,BP,8,19
285284,BP,8,2
285302,BP,8,20
285303,BP,8,21
285304,BP,8,22
285305,BP,8,23
285306,BP,8,24
285307,BP,8,25
285308,BP,8,26
285309,BP,8,27
285310,BP,8,28
285311,BP,8,29
285285,BP,8,3
285312,BP,8,30
285313,BP,8,31
285314,BP,8,32
285286,BP,8,4
285287,BP,8,5
285288,BP,8,6
285289,BP,8,7
285290,BP,8,8
285291,BP,8,9
255226,DRP,0,1
255227,DRP,1,1
255254,DRP,1,10
255255,DRP,1,11
255256,DRP,1,12
255257,DRP,1,13
255258,DRP,1,14
255259,DRP,1,15
255260,DRP,1,16
255261,DRP,1,17
255262,DRP,1,18
255263,DRP,1,19
255246,DRP,1,2
255247,DRP,1,3
255248,DRP,1,4
255249,DRP,1,5
255250,DRP,1,6
255251,DRP,1,7
255252,DRP,1,8
255253,DRP,1,9
255236,DRP,10,1
255416,DRP,10,10
255417,DRP,10,11
255418,DRP,10,12
255419,DRP,10,13
255420,DRP,10,14
255421,DRP,10,15
255422,DRP,10,16
255423,DRP,10,17
255424,DRP,10,18
255425,DRP,10,19
255408,DRP,10,2
255409,DRP,10,3
255410,DRP,10,4
255411,DRP,10,5
255412,DRP,10,6
255413,DRP,10,7
255414,DRP,10,8
255415,DRP,10,9
255237,DRP,11,1
255434,DRP,11,10
255435,DRP,11,11
255436,DRP,11,12
255437,DRP,11,13
255438,DRP,11,14
255439,DRP,11,15
255440,DRP,11,16
255441,DRP,11,17
255442,DRP,11,18
255443,DRP,11,19
255426,DRP,11,2
255427,DRP,11,3
255428,DRP,11,4
255429,DRP,11,5
255430,DRP,11,6
255431,DRP,11,7
255432,DRP,11,8
255433,DRP,11,9
255238,DRP,12,1
255452,DRP,12,10
255453,DRP,12,11
255454,DRP,12,12
255455,DRP,12,13
255456,DRP,12,14
255457,DRP,12,15
255458,DRP,12,16
255459,DRP,12,17
255460,DRP,12,18
255461,DRP,12,19
255444,DRP,12,2
255445,DRP,12,3
255446,DRP,12,4
255447,DRP,12,5
255448,DRP,12,6
255449,DRP,12,7
255450,DRP,12,8
255451,DRP,12,9
255239,DRP,13,1
255470,DRP,13,10
255471,DRP,13,11
255472,DRP,13,12
255473,DRP,13,13
255474,DRP,13,14
255475,DRP,13,15
255476,DRP,13,16
255477,DRP,13,17
255478,DRP,13,18
255479,DRP,13,19
255462,DRP,13,2
255463,DRP,13,3
255464,DRP,13,4
255465,DRP,13,5
255466,DRP,13,6
255467,DRP,13,7
255468,DRP,13,8
255469,DRP,13,9
255240,DRP,14,1
255488,DRP,14,10
255489,DRP,14,11
255490,DRP,14,12
255491,DRP,14,13
255492,DRP,14,14
255493,DRP,14,15
255494,DRP,14,16
255495,DRP,14,17
255496,DRP,14,18
255497,DRP,14,19
255480,DRP,14,2
255481,DRP,14,3
255482,DRP,14,4
255483,DRP,14,5
255484,DRP,14,6
255485,DRP,14,7
255486,DRP,14,8
255487,DRP,14,9
255241,DRP,15,1
255506,DRP,15,10
255507,DRP,15,11
255508,DRP,15,12
255509,DRP,15,13
255510,DRP,15,14
255511,DRP,15,15
255512,DRP,15,16
255513,DRP,15,17
255514,DRP,15,18
255515,DRP,15,19
255498,DRP,15,2
255499,DRP,15,3
255500,DRP,15,4
255501,DRP,15,5
255502,DRP,15,6
255503,DRP,15,7
255504,DRP,15,8
255505,DRP,15,9
255242,DRP,16,1
255524,DRP,16,10
255525,DRP,16,11
255526,DRP,16,12
255527,DRP,16,13
255528,DRP,16,14
255529,DRP,16,15
255530,DRP,16,16
255531,DRP,16,17
255532,DRP,16,18
255533,DRP,16,19
255516,DRP,16,2
255517,DRP,16,3
255518,DRP,16,4
255519,DRP,16,5
255520,DRP,16,6
255521,DRP,16,7
255522,DRP,16,8
255523,DRP,16,9
255243,DRP,17,1
255542,DRP,17,10
255543,DRP,17,11
255544,DRP,17,12
255545,DRP,17,13
255546,DRP,17,14
255547,DRP,17,15
255548,DRP,17,16
255549,DRP,17,17
255550,DRP,17,18
255551,DRP,17,19
255534,DRP,17,2
255535,DRP,17,3
255536,DRP,17,4
255537,DRP,17,5
255538,DRP,17,6
255539,DRP,17,7
255540,DRP,17,8
255541,DRP,17,9
255244,DRP,18,1
255560,DRP,18,10
255561,DRP,18,11
255562,DRP,18,12
255563,DRP,18,13
255564,DRP,18,14
255565,DRP,18,15
255566,DRP,18,16
255567,DRP,18,17
255568,DRP,18,18
255569,DRP,18,19
255552,DRP,18,2
255553,DRP,18,3
255554,DRP,18,4
255555,DRP,18,5
255556,DRP,18,6
255557,DRP,18,7
255558,DRP,18,8
255559,DRP,18,9
255245,DRP,19,1
255578,DRP,19,10
255579,DRP,19,11
255580,DRP,19,12
255581,DRP,19,13
255582,DRP,19,14
255583,DRP,19,15
255584,DRP,19,16
255585,DRP,19,17
255586,DRP,19,18
255587,DRP,19,19
255570,DRP,19,2
255571,DRP,19,3
255572,DRP,19,4
255573,DRP,19,5
255574,DRP,19,6
255575,DRP,19,7
255576,DRP,19,8
255577,DRP,19,9
255228,DRP,2,1
255272,DRP,2,10
255273,DRP,2,11
255274,DRP,2,12
255275,DRP,2,13
255276,DRP,2,14
255277,DRP,2,15
255278,DRP,2,16
255279,DRP,2,17
255280,DRP,2,18
255281,DRP,2,19
255264,DRP,2,2
255265,DRP,2,3
255266,DRP,2,4
255267,DRP,2,5
255268,DRP,2,6
255269,DRP,2,7
255270,DRP,2,8
255271,DRP,2,9
255229,DRP,3,1
255290,DRP,3,10
255291,DRP,3,11
255292,DRP,3,12
255293,DRP,3,13
255294,DRP,3,14
255295,DRP,3,15
255296,DRP,3,16
255297,DRP,3,17
255298,DRP,3,18
255299,DRP,3,19
255282,DRP,3,2
255283,DRP,3,3
255284,DRP,3,4
255285,DRP,3,5
255286,DRP,3,6
255287,DRP,3,7
255288,DRP,3,8
255289,DRP,3,9
255230,DRP,4,1
255308,DRP,4,10
255309,DRP,4,11
255310,DRP,4,12
255311,DRP,4,13
255312,DRP,4,14
255313,DRP,4,15
255314,DRP,4,16
255315,DRP,4,17
255316,DRP,4,18
255317,DRP,4,19
255300,DRP,4,2
255301,DRP,4,3
255302,DRP,4,4
255303,DRP,4,5
255304,DRP,4,6
255305,DRP,4,7
255306,DRP,4,8
255307,DRP,4,9
255231,DRP,5,1
255326,DRP,5,10
