locationid,zone,aisle,bay
199685,A,0,1
199694,A,0,10
199695,A,0,11
199696,A,0,12
199697,A,0,13
199698,A,0,14
199699,A,0,15
199700,A,0,16
199701,A,0,17
199702,A,0,18
199703,A,0,19
199686,A,0,2
199704,A,0,20
199705,A,0,21
199706,A,0,22
199707,A,0,23
199708,A,0,24
199709,A,0,25
199710,A,0,26
199711,A,0,27
199712,A,0,28
199713,A,0,29
199687,A,0,3
199714,A,0,30
199715,A,0,31
199716,A,0,32
199717,A,0,33
199718,A,0,34
199719,A,0,35
199720,A,0,36
199721,A,0,37
199722,A,0,38
199723,A,0,39
199688,A,0,4
199724,A,0,40
199725,A,0,41
199726,A,0,42
199727,A,0,43
199728,A,0,44
199729,A,0,45
199730,A,0,46
199731,A,0,47
199732,A,0,48
199733,A,0,49
199689,A,0,5
199734,A,0,50
199735,A,0,51
199736,A,0,52
199737,A,0,53
199738,A,0,54
199739,A,0,55
199740,A,0,56
290549,A,0,57
290550,A,0,58
290551,A,0,59
199690,A,0,6
290552,A,0,60
290553,A,0,61
290554,A,0,62
290555,A,0,63
290556,A,0,64
290557,A,0,65
290558,A,0,66
290559,A,0,67
290560,A,0,68
290561,A,0,69
199691,A,0,7
290562,A,0,70
290563,A,0,71
290564,A,0,72
290565,A,0,73
290566,A,0,74
290567,A,0,75
290568,A,0,76
199692,A,0,8
199693,A,0,9
199741,A,1,1
199750,A,1,10
199751,A,1,11
199752,A,1,12
199753,A,1,13
199754,A,1,14
199755,A,1,15
199756,A,1,16
199757,A,1,17
199758,A,1,18
199759,A,1,19
199742,A,1,2
199760,A,1,20
199761,A,1,21
199762,A,1,22
199763,A,1,23
199764,A,1,24
199765,A,1,25
199766,A,1,26
199767,A,1,27
199768,A,1,28
199769,A,1,29
199743,A,1,3
199770,A,1,30
199771,A,1,31
199772,A,1,32
199773,A,1,33
199774,A,1,34
199775,A,1,35
199776,A,1,36
199777,A,1,37
199778,A,1,38
199779,A,1,39
199744,A,1,4
199780,A,1,40
